1.139,435.658,0.002
1.140,435.195,0.002
1.161,427.087,0.002
1.168,424.677,0.002
1.167,425.173,0.002
1.132,438.189,0.002
1.129,439.136,0.002
1.135,437.050,0.002
1.168,424.737,0.002
1.134,437.207,0.002
1.163,426.354,0.002
1.162,427.005,0.002
1.147,432.321,0.002
1.159,427.903,0.002
1.125,440.772,0.002
1.168,424.627,0.002
1.144,433.681,0.002
1.138,435.834,0.002
1.144,433.494,0.002
1.160,427.442,0.002
1.161,427.050,0.002
1.133,437.823,0.002
1.135,437.034,0.002
1.137,436.201,0.002
1.126,440.392,0.002
1.163,426.578,0.002
1.139,435.537,0.002
1.126,440.361,0.002
1.165,425.672,0.002
1.150,431.255,0.002
1.132,438.040,0.002
1.139,435.421,0.002
1.158,428.185,0.002
1.139,435.513,0.002
1.137,436.072,0.002
1.169,424.403,0.002
1.139,435.453,0.002
1.170,423.994,0.002
1.129,439.258,0.002
1.143,433.890,0.002
1.131,438.729,0.002
1.144,433.738,0.002
1.135,437.066,0.002
1.142,434.502,0.002
1.139,435.490,0.002
1.127,440.219,0.002
1.126,440.551,0.002
1.131,438.405,0.002
1.129,439.205,0.002
1.136,436.774,0.002
1.166,425.265,0.002
1.139,435.539,0.002
1.134,437.373,0.002
1.129,439.504,0.002
1.178,421.220,0.002
1.139,435.358,0.002
1.135,436.885,0.002
1.165,425.797,0.002
1.138,435.914,0.002
1.138,435.855,0.002
1.158,428.229,0.002
1.129,439.455,0.002
1.126,440.687,0.002
1.144,433.458,0.002
1.135,437.049,0.002
1.137,436.159,0.002
1.162,426.747,0.002
1.139,435.371,0.002
1.135,437.110,0.002
1.132,438.123,0.002
1.137,436.427,0.002
1.135,436.999,0.002
1.198,413.979,0.002
1.134,437.480,0.002
1.128,439.839,0.002
1.135,436.879,0.002
1.133,437.628,0.002
1.139,435.316,0.002
1.139,435.461,0.002
1.138,436.040,0.002
1.143,433.809,0.002
1.129,439.247,0.002
1.132,438.174,0.002
1.133,437.750,0.002
1.132,438.013,0.002
1.127,440.070,0.002
1.137,436.145,0.002
1.136,436.720,0.002
1.165,425.689,0.002
1.130,438.877,0.002
1.126,440.408,0.002
1.141,434.702,0.002
1.132,438.128,0.002
1.126,440.313,0.002
1.137,436.394,0.002
1.134,437.434,0.002
1.142,434.260,0.002
1.133,437.783,0.002
1.140,435.274,0.002
1.133,437.584,0.002
