2.234,222.037,0.552
2.223,223.107,0.552
2.213,224.176,0.552
2.212,224.196,0.552
2.208,224.666,0.552
2.212,224.190,0.552
2.197,225.733,0.552
2.216,223.854,0.552
2.224,223.006,0.552
2.206,224.837,0.552
2.222,223.209,0.552
2.229,222.516,0.552
2.248,220.663,0.552
2.217,223.762,0.552
2.217,223.699,0.552
2.202,225.276,0.552
2.217,223.678,0.552
2.219,223.481,0.552
2.220,223.465,0.552
2.213,224.174,0.552
2.228,222.628,0.552
2.221,223.348,0.552
2.209,224.501,0.552
2.213,224.180,0.552
2.198,225.633,0.552
2.211,224.342,0.552
2.205,224.942,0.552
2.210,224.424,0.552
2.204,225.079,0.552
2.210,224.464,0.552
2.210,224.460,0.552
2.225,222.885,0.552
2.218,223.576,0.552
2.221,223.307,0.552
2.220,223.465,0.552
2.218,223.622,0.552
2.214,224.080,0.552
2.215,223.915,0.552
2.206,224.825,0.552
2.209,224.527,0.552
2.223,223.133,0.552
2.218,223.638,0.552
2.215,223.928,0.552
2.209,224.551,0.552
2.222,223.255,0.552
2.221,223.341,0.552
2.199,225.516,0.552
2.227,222.765,0.552
2.210,224.464,0.552
2.220,223.378,0.552
2.196,225.830,0.552
2.214,224.052,0.552
2.214,224.034,0.552
2.212,224.190,0.552
2.209,224.534,0.552
2.201,225.317,0.552
2.216,223.784,0.552
2.228,222.615,0.552
2.211,224.369,0.552
2.215,223.971,0.552
2.225,222.958,0.552
2.217,223.724,0.552
2.223,223.099,0.552
2.229,222.487,0.552
2.204,225.064,0.552
2.217,223.714,0.552
2.221,223.315,0.552
2.218,223.630,0.552
2.205,224.963,0.552
2.207,224.715,0.552
2.206,224.877,0.552
2.214,224.028,0.552
2.214,224.001,0.552
2.214,224.072,0.552
2.203,225.104,0.552
2.208,224.647,0.552
2.231,222.322,0.552
2.215,223.931,0.552
2.227,222.746,0.552
2.211,224.292,0.552
2.216,223.818,0.552
2.207,224.765,0.552
2.229,222.557,0.552
2.205,224.950,0.552
2.223,223.082,0.552
2.211,224.316,0.552
2.219,223.571,0.552
2.205,224.973,0.552
2.216,223.852,0.552
2.215,223.976,0.552
2.199,225.596,0.552
2.209,224.581,0.552
2.213,224.086,0.552
2.220,223.399,0.552
2.221,223.274,0.552
2.212,224.216,0.552
2.218,223.621,0.552
2.209,224.503,0.552
2.213,224.087,0.552
2.229,222.485,0.552
