0.043, 92.825
0.048, 83.366
0.042, 94.782
0.043, 92.812
0.033, 121.179
0.043, 93.787
0.041, 98.546
0.041, 98.239
0.043, 92.294
0.043, 92.447
0.041, 97.625
0.041, 97.850
0.040, 100.122
0.041, 98.321
0.040, 99.783
0.041, 96.780
0.041, 98.085
0.043, 92.317
0.043, 92.170
0.041, 97.456
0.041, 97.996
0.044, 91.212
0.041, 96.665
0.043, 94.102
0.043, 92.306
0.041, 98.472
0.041, 96.627
0.041, 96.672
0.041, 98.083
0.041, 97.800
0.041, 96.763
0.040, 100.078
0.043, 92.242
0.041, 98.595
0.041, 97.783
0.041, 98.188
0.040, 100.303
0.041, 97.613
0.041, 97.718
0.042, 94.280
0.043, 92.306
0.040, 100.730
0.041, 98.491
0.042, 96.191
0.041, 97.585
0.039, 103.538
0.042, 96.242
0.040, 100.873
0.039, 103.662
0.040, 100.632
0.039, 103.133
0.038, 104.371
0.039, 103.821
0.039, 103.589
0.039, 103.699
0.040, 100.518
0.041, 98.184
0.039, 102.349
0.040, 100.391
0.039, 103.635
0.039, 103.183
0.039, 103.566
0.039, 101.430
0.039, 103.389
0.038, 104.083
0.041, 98.191
0.038, 104.072
0.039, 103.678
0.043, 92.513
0.040, 99.478
0.043, 93.583
0.041, 98.239
0.042, 96.158
0.044, 91.737
0.043, 93.379
0.041, 98.331
0.041, 98.145
0.043, 93.727
0.043, 93.561
0.041, 97.619
0.041, 96.493
0.042, 95.627
0.040, 98.790
0.041, 97.345
0.041, 96.857
0.040, 98.863
0.041, 96.646
0.041, 96.532
0.041, 96.467
0.039, 103.501
0.039, 102.443
0.040, 99.611
0.042, 95.025
0.041, 97.690
0.039, 103.112
0.041, 98.013
0.040, 99.342
0.041, 98.697
0.041, 97.194
0.041, 97.258
